"time","S_c1","C_c1","I_c1","VS_c1","VC_c1","S_h1","C_h1","I_h1","VS_h1","VC_h1","D_h1","CInc_1a","CInc_1b","CInc_1c","CInc_1d","col_adm","col_discharges","admissions","discharges","inc_bsi_hosp","inc_hosp_onset","total_cases"
61,78906.6364249788,1127.28396428999,0.0796107287789798,0,0,335.483649288125,59.2723945276159,41.2439561842467,0,0,2160.43698236929,357104.358905982,5602.42963276939,5601.39078387221,4225.91834267993,93.8256766305837,438.018297084684,3825.65420953228,3786.67874877984,0.06382245959594,2.91212768714922,2.97595014674516
62,78911.1947702966,1122.72594783836,0.0792818626207886,0,0,334.923023173992,59.5366662006796,41.5403106253163,0,0,2161.33259572899,357113.920515046,5602.49287136252,5601.45434044743,4228.84366014582,95.1036732087207,447.033292384848,3886.48732575382,3846.56219043848,0.0635565752227194,2.9253174658943,2.98887404111701
63,78915.6585886437,1118.26245151633,0.0789598375946872,0,0,334.375907307977,59.7939137998012,41.8301788922095,0,0,2162.23455099247,357123.518777097,5602.55585640637,5601.51763667683,4231.7818177118,96.376545778061,456.087857216606,3947.28226378148,3906.40115215478,0.0632962293984747,2.93815756597724,3.00145379537571
64,78920.0300775415,1113.8912779613,0.0786444947798111,0,0,333.84206839976,60.0442881336335,42.1136434665945,0,0,2163.1427087067,357133.15263839,5602.61859315214,5601.58067796959,4234.73247320693,97.6444004605299,465.180937106607,4008.03986312098,3966.19661200452,0.0630412927566795,2.95065549512856,3.01369678788524
65,78924.3113850832,1109.61027923548,0.0783356789060251,0,0,333.321272396168,60.287938928785,42.3907886750349,0,0,2164.05693122413,357142.821072757,5602.68108672888,5601.64346960914,4237.69529185878,98.9073409101382,474.311500381568,4068.76095240916,4025.94953540054,0.0627916395524153,2.96281865185392,3.02561029140634
66,78928.504610705,1105.41735605432,0.0780332382408768,0,0,332.813284834668,60.5250146425509,42.6617005227688,0,0,2164.97708274024,357152.523081071,5602.74334214631,5601.70601675603,4240.66994623732,100.165468368534,483.478537995345,4129.44634918774,4085.66087482919,0.062547146894758,2.97465437853407,3.03720152542883
67,78932.6118059814,1101.31045699178,0.0777370243570172,0,0,332.317871169463,60.7556623035803,42.9264665269441,0,0,2165.90302932803,357162.257690703,5602.80536429747,5601.76832445088,4243.65611618874,101.418881719831,492.68106332512,4190.09685969593,4145.3315696087,0.0623076948459129,2.98616995141947,3.04847764626538
68,78936.6349754347,1097.28757767058,0.0774468922247514,0,0,331.834797074602,60.9800273735635,43.185175551822,0,0,2166.83463896897,357172.023954971,5602.8671579614,5601.83039761692,4246.65348876131,102.667677544526,501.918111942785,4250.71327868383,4204.96254567178,0.0620731660355887,2.99737257257129,3.05944573860688
69,78940.5760773532,1093.34675994413,0.0771627002310701,0,0,331.363828727444,61.1982536236822,43.4379176488621,0,0,2167.77178158043,357181.820952595,5602.9287278058,5601.89224106262,4249.6617581252,103.91195017248,511.188741367897,4311.29638924751,4264.5547153735,0.0618434457028343,3.0082693638924,3.07011280959523
70,78944.4370245901,1089.48609109747,0.0768843099562242,0,0,330.904733063737,61.4104830298692,43.684783906382,0,0,2168.71432903895,357191.647787159,5602.99007838948,5601.95385948442,4252.68062548943,105.151791733295,520.492030811725,4371.84696268886,4324.10897732794,0.0616184217979026,3.01886736422512,3.08048578602302
